Country,Item,Year,Value
Croatia,Vegetables,1963,73.8
Croatia,Vegetables,1968,76.96
Croatia,Vegetables,1973,102.38
Croatia,Vegetables,1978,91.97
Croatia,Vegetables,1983,92.03
Croatia,Vegetables,1988,81.84
Croatia,Vegetables,1993,64.39
Croatia,Vegetables,1998,105.17
Croatia,Vegetables,2003,102.01
Croatia,Vegetables,2008,89.28
Croatia,Vegetables,2013,80.53
Cuba,Vegetables,1963,31.38
Cuba,Vegetables,1968,25.6
Cuba,Vegetables,1973,27.32
Cuba,Vegetables,1978,29.23
Cuba,Vegetables,1983,42.14
Cuba,Vegetables,1988,56.66
Cuba,Vegetables,1993,38.15
Cuba,Vegetables,1998,59.04
Cuba,Vegetables,2003,172.26
Cuba,Vegetables,2008,148.16
Cuba,Vegetables,2013,145.29
Cyprus,Vegetables,1963,110.97
Cyprus,Vegetables,1968,136.3
Cyprus,Vegetables,1973,140.16
Cyprus,Vegetables,1978,96.44
Cyprus,Vegetables,1983,98.67
Cyprus,Vegetables,1988,117.56
Cyprus,Vegetables,1993,127.41
Cyprus,Vegetables,1998,143.97
Cyprus,Vegetables,2003,127.76
Cyprus,Vegetables,2008,107.79
Cyprus,Vegetables,2013,96.36
Czechia,Vegetables,1993,70.5
Czechia,Vegetables,1998,77.88
Czechia,Vegetables,2003,71.01
Czechia,Vegetables,2008,77.6
Czechia,Vegetables,2013,72.16
Czechia,Vegetables,1963,87.96
Czechia,Vegetables,1968,88
Czechia,Vegetables,1973,72.72
Czechia,Vegetables,1978,69.67
Czechia,Vegetables,1983,78.32
Czechia,Vegetables,1988,89.47
Denmark,Vegetables,1963,45.81
Denmark,Vegetables,1968,40.54
Denmark,Vegetables,1973,46.08
Denmark,Vegetables,1978,48.98
Denmark,Vegetables,1983,63.65
Denmark,Vegetables,1988,81.25
Denmark,Vegetables,1993,75.75
Denmark,Vegetables,1998,80.52
Denmark,Vegetables,2003,99.64
Denmark,Vegetables,2008,100.13
Denmark,Vegetables,2013,105.28
Djibouti,Vegetables,1963,9.44
Djibouti,Vegetables,1968,14.04
Djibouti,Vegetables,1973,16.95
Djibouti,Vegetables,1978,14.34
Djibouti,Vegetables,1983,56.38
Djibouti,Vegetables,1988,65.27
Djibouti,Vegetables,1993,41.09
Djibouti,Vegetables,1998,32.52
Djibouti,Vegetables,2003,39.96
Djibouti,Vegetables,2008,50.4
Djibouti,Vegetables,2013,68.36
Ecuador,Vegetables,1963,69.13
Ecuador,Vegetables,1968,42.83
Ecuador,Vegetables,1973,28.42
Ecuador,Vegetables,1978,27.63
Ecuador,Vegetables,1983,25.46
Ecuador,Vegetables,1988,38.12
Ecuador,Vegetables,1993,28.94
Ecuador,Vegetables,1998,26.21
Ecuador,Vegetables,2003,17.8
Ecuador,Vegetables,2008,23.3
Ecuador,Vegetables,2013,23.15
Egypt,Vegetables,1963,125.93
Egypt,Vegetables,1968,130.59
Egypt,Vegetables,1973,125.43
Egypt,Vegetables,1978,139.71
Egypt,Vegetables,1983,142.56
Egypt,Vegetables,1988,158.91
Egypt,Vegetables,1993,140.12
Egypt,Vegetables,1998,172.24
Egypt,Vegetables,2003,197.68
Egypt,Vegetables,2008,231.29
Egypt,Vegetables,2013,193.65
Estonia,Vegetables,1993,49.19
Estonia,Vegetables,1998,67.98
Estonia,Vegetables,2003,99.1
Estonia,Vegetables,2008,96.4
Estonia,Vegetables,2013,115.26
Ethiopia,Vegetables,1993,12.16
Ethiopia,Vegetables,1998,11.76
Ethiopia,Vegetables,2003,12.8
Ethiopia,Vegetables,2008,13.51
Ethiopia,Vegetables,2013,18
Ethiopia,Vegetables,1963,9.81
Ethiopia,Vegetables,1968,10.27
Ethiopia,Vegetables,1973,10.18
Ethiopia,Vegetables,1978,11.47
Ethiopia,Vegetables,1983,10.81
Ethiopia,Vegetables,1988,10.21
Fiji,Vegetables,1963,11.83
