Country,Item,Year,Value
United Arab Emirates,Mean BMI,1978,26.1365243825
United Kingdom,Mean BMI,1978,24.0479008157
United States of America,Mean BMI,1978,25.2027208946
Uruguay,Mean BMI,1978,24.4817851054
Uzbekistan,Mean BMI,1978,22.744365353
Vanuatu,Mean BMI,1978,23.028917063
Venezuela,Mean BMI,1978,24.3532388187
Vietnam,Mean BMI,1978,18.3686700964
Yemen,Mean BMI,1978,20.078946544
Zambia,Mean BMI,1978,19.9060302599
Zimbabwe,Mean BMI,1978,22.2186180294
Afghanistan,Mean BMI,1983,19.9005132969
Albania,Mean BMI,1983,24.3438281011
Algeria,Mean BMI,1983,22.7045605985
American Samoa,Mean BMI,1983,32.3184695187
Andorra,Mean BMI,1983,26.134754908
Angola,Mean BMI,1983,19.7698000219
Antigua and Barbuda,Mean BMI,1983,23.5768518651
Argentina,Mean BMI,1983,24.8779720975
Armenia,Mean BMI,1983,24.8619410098
Australia,Mean BMI,1983,24.6089587006
Austria,Mean BMI,1983,24.3177175513
Azerbaijan,Mean BMI,1983,24.4085350892
Bahamas,Mean BMI,1983,25.303779773
Bahrain,Mean BMI,1983,25.4887245763
Bangladesh,Mean BMI,1983,18.4184334638
Barbados,Mean BMI,1983,25.5789793094
Belarus,Mean BMI,1983,24.7344177539
Belgium,Mean BMI,1983,25.0974329633
Belize,Mean BMI,1983,25.7863533839
Benin,Mean BMI,1983,20.0056200101
Bermuda,Mean BMI,1983,26.5002123826
Bhutan,Mean BMI,1983,20.0377693875
Bolivia,Mean BMI,1983,22.6963699889
Bosnia and Herzegovina,Mean BMI,1983,24.1125864464
Botswana,Mean BMI,1983,21.4627306933
Brazil,Mean BMI,1983,23.4842092311
Brunei Darussalam,Mean BMI,1983,23.7050789501
Bulgaria,Mean BMI,1983,24.7828692247
Burkina Faso,Mean BMI,1983,19.3753281384
Burundi,Mean BMI,1983,19.0268540175
Cabo Verde,Mean BMI,1983,20.8517602306
Cambodia,Mean BMI,1983,19.0658684892
Cameroon,Mean BMI,1983,21.0731339252
Canada,Mean BMI,1983,24.8982432793
Central African Republic,Mean BMI,1983,19.9583583679
Chad,Mean BMI,1983,19.4376218539
Chile,Mean BMI,1983,25.568298755
China,Mean BMI,1983,21.5432977128
China (Hong Kong SAR),Mean BMI,1983,22.5977610848
Colombia,Mean BMI,1983,23.0761986362
Comoros,Mean BMI,1983,20.6880778421
Congo,Mean BMI,1983,20.5194630402
Cook Islands,Mean BMI,1983,29.7110306785
Costa Rica,Mean BMI,1983,23.5957843645
Croatia,Mean BMI,1983,24.4782865573
Cuba,Mean BMI,1983,23.4109688873
Cyprus,Mean BMI,1983,24.9193866025
Czech Republic,Mean BMI,1983,26.6434882913
Denmark,Mean BMI,1983,24.0998458306
Djibouti,Mean BMI,1983,22.5656350668
Dominica,Mean BMI,1983,23.6710989986
Dominican Republic,Mean BMI,1983,23.2081686973
DR Congo,Mean BMI,1983,19.1969134238
Ecuador,Mean BMI,1983,23.3871950092
Egypt,Mean BMI,1983,25.6822157548
El Salvador,Mean BMI,1983,23.7245193565
Equatorial Guinea,Mean BMI,1983,20.7493169684
Eritrea,Mean BMI,1983,18.8862894005
Estonia,Mean BMI,1983,24.8030567637
Ethiopia,Mean BMI,1983,18.4774581389
Fiji,Mean BMI,1983,24.3728447824
Finland,Mean BMI,1983,24.8621051841
France,Mean BMI,1983,24.5818031174
French Polynesia,Mean BMI,1983,28.2430695833
Gabon,Mean BMI,1983,21.4833705347
Gambia,Mean BMI,1983,19.6061360643
Georgia,Mean BMI,1983,24.4469488132
Germany,Mean BMI,1983,24.8206686616
Ghana,Mean BMI,1983,20.6651081332
Greece,Mean BMI,1983,25.8894720728
Greenland,Mean BMI,1983,24.6846370355
Grenada,Mean BMI,1983,23.5988938229
Guatemala,Mean BMI,1983,22.8546327282
Guinea,Mean BMI,1983,20.1145280041
Guinea Bissau,Mean BMI,1983,20.0024967127
Guyana,Mean BMI,1983,23.1218617776
Haiti,Mean BMI,1983,21.3248046483
Honduras,Mean BMI,1983,22.3538108631
Hungary,Mean BMI,1983,25.2474706572
Iceland,Mean BMI,1983,24.3794713804
India,Mean BMI,1983,19.3893239396
Indonesia,Mean BMI,1983,20.0583245101
Iran,Mean BMI,1983,23.4796518755
Iraq,Mean BMI,1983,25.5007665328
Ireland,Mean BMI,1983,24.5486075809
Israel,Mean BMI,1983,24.9846385401
Italy,Mean BMI,1983,24.7742301921
Ivory Coast,Mean BMI,1983,21.1086987134
Jamaica,Mean BMI,1983,23.4837820915
